nupdates,policy_loss,d_targ,value_loss,eplenmean,serial_timesteps,eprewmean,policy_entropy,clipfrac,explained_variance,fps,time_elapsed,approxkl,lr,total_timesteps
394,-0.00608124,0.006,0.0718103,910.06,201728,1773.05086996,-0.135501,0.085556,0.5271694958209991,5259,1236.633217573166,0.00640719,0.0003,6455296
395,-0.00575122,0.006,0.0860415,930.1,202240,1820.47004433,-0.139465,0.0758209,0.501689225435257,5264,1239.7459921836853,0.00601994,0.0003,6471680
396,-0.00542412,0.006,0.0716166,926.34,202752,1822.03195919,-0.148503,0.0617371,0.650704950094223,5299,1242.837835073471,0.00499913,0.0003,6488064
397,-0.00612228,0.006,0.101666,896.82,203264,1779.30649689,-0.156218,0.0961914,0.4834992289543152,5237,1245.9662771224976,0.00704003,0.0003,6504448
398,-0.00571932,0.006,0.0729541,892.64,203776,1787.03085386,-0.163754,0.0818024,0.6207830309867859,5335,1249.0375010967255,0.00617101,0.0003,6520832
399,-0.00575873,0.006,0.0897654,871.14,204288,1735.52414828,-0.170247,0.0853577,0.6138998568058014,5327,1252.1132860183716,0.00668285,0.0003,6537216
400,-0.00549955,0.006,0.0813962,854.03,204800,1704.81090036,-0.173046,0.083786,0.4776323437690735,5306,1255.201359987259,0.00632356,0.0003,6553600
401,-0.00595315,0.006,0.0801909,865.2,205312,1730.0899888,-0.179692,0.0801086,0.6505228877067566,5334,1258.2747597694397,0.00617766,0.0003,6569984
402,-0.00516389,0.006,0.0854812,860.63,205824,1724.07247441,-0.180842,0.0747986,0.5626679062843323,5291,1261.371361732483,0.00580113,0.0003,6586368
403,-0.00556269,0.006,0.0726182,890.96,206336,1797.6501747,-0.189538,0.088089,0.6134858727455139,5286,1264.4709951877594,0.00655714,0.0003,6602752
404,-0.00619846,0.006,0.0881388,882.26,206848,1780.60580908,-0.194922,0.0869446,0.5092546939849854,5303,1267.5607450008392,0.00656224,0.0003,6619136
405,-0.005122,0.006,0.0862416,916.23,207360,1871.02771731,-0.201094,0.068161,0.41280508041381836,5306,1270.6485347747803,0.00548166,0.0003,6635520
406,-0.00576387,0.006,0.0746282,925.31,207872,1885.36892191,-0.2113,0.0840912,0.5731349885463715,5274,1273.755410194397,0.00645759,0.0003,6651904
407,-0.00547846,0.006,0.103627,921.24,208384,1907.43145325,-0.220429,0.0920715,0.5235445499420166,5288,1276.854059457779,0.00666078,0.0003,6668288
408,-0.00545052,0.006,0.0828427,892.54,208896,1854.72301425,-0.226961,0.0833893,0.7186212539672852,5330,1279.928362607956,0.0063674,0.0003,6684672
409,-0.0059751,0.006,0.0943566,882.1,209408,1821.20711764,-0.22816,0.0682373,0.4510176181793213,5359,1282.985668182373,0.00544129,0.0003,6701056
410,-0.00574211,0.006,0.0830782,875.89,209920,1817.64557234,-0.228086,0.0791473,0.5352174043655396,5359,1286.0429282188416,0.00613131,0.0003,6717440
411,-0.00528758,0.006,0.106623,845.6,210432,1764.2607016,-0.238107,0.0777893,0.5595866143703461,5279,1289.146381855011,0.0059719,0.0003,6733824
412,-0.00534504,0.006,0.0737649,843.63,210944,1745.94943674,-0.247375,0.0823364,0.7820792496204376,5184,1292.3068573474884,0.00617329,0.0003,6750208
413,-0.00577775,0.006,0.0922249,861.45,211456,1751.44948061,-0.253074,0.087677,0.5541266202926636,4995,1295.5870957374573,0.00666499,0.0003,6766592
414,-0.006085,0.006,0.0818519,869.12,211968,1802.15277789,-0.259691,0.0900421,0.47257864475250244,4712,1299.0640864372253,0.0066861,0.0003,6782976
415,-0.00665277,0.006,0.0886593,888.02,212480,1865.14951858,-0.270034,0.0981293,0.672798365354538,4835,1302.452748298645,0.00728003,0.0003,6799360
416,-0.00554714,0.006,0.103153,899.16,212992,1883.57317447,-0.281357,0.0700989,0.6403616666793823,4942,1305.768387556076,0.0056804,0.0003,6815744
417,-0.0056422,0.006,0.081213,898.39,213504,1860.6045091,-0.290001,0.0722809,0.6675308346748352,5070,1309.0002789497375,0.00576852,0.0003,6832128
418,-0.0052026,0.006,0.101021,885.23,214016,1881.73777295,-0.298779,0.0761414,0.6451112329959869,5107,1312.2087650299072,0.00594236,0.0003,6848512
419,-0.00581349,0.006,0.0882389,889.26,214528,1851.52951018,-0.302408,0.072876,0.7692954689264297,5103,1315.419784784317,0.00562807,0.0003,6864896
420,-0.00563801,0.006,0.0901983,864.21,215040,1778.12667146,-0.307497,0.087326,0.6438905596733093,5189,1318.577537536621,0.00653699,0.0003,6881280
421,-0.00614574,0.006,0.0926823,862.85,215552,1785.25546356,-0.314297,0.0870972,0.5730976760387421,5296,1321.6713597774506,0.00653698,0.0003,6897664
422,-0.00592028,0.006,0.0814492,859.3,216064,1798.99405654,-0.320985,0.0815735,0.37492525577545166,5321,1324.7505776882172,0.0062189,0.0003,6914048
423,-0.00523754,0.006,0.107075,858.15,216576,1796.03389185,-0.323674,0.0731354,0.413624107837677,5277,1327.8555965423584,0.00561709,0.0003,6930432
424,-0.00617411,0.006,0.0893998,866.69,217088,1825.11471039,-0.323181,0.092453,0.6731074154376984,5268,1330.9659724235535,0.0068222,0.0003,6946816
425,-0.00643712,0.006,0.0945333,877.93,217600,1836.05106065,-0.329546,0.0938263,0.6729941368103027,5284,1334.0669860839844,0.00707197,0.0003,6963200
426,-0.00570425,0.006,0.0742006,876.83,218112,1826.64317856,-0.340153,0.0903473,0.6995607614517212,5351,1337.128926038742,0.00675768,0.0003,6979584
427,-0.00541625,0.006,0.0936543,890.39,218624,1865.85755682,-0.343089,0.0705109,0.67676842212677,5288,1340.227607011795,0.00548013,0.0003,6995968
428,-0.00534302,0.006,0.0871666,873.9,219136,1828.54523695,-0.349024,0.0784607,0.6623704731464386,5281,1343.330058813095,0.00605861,0.0003,7012352
429,-0.00660108,0.006,0.106529,897.43,219648,1891.66898195,-0.353959,0.091217,0.4165143370628357,5259,1346.445369720459,0.00676491,0.0003,7028736
430,-0.0061602,0.006,0.0813411,899.7,220160,1916.6561715,-0.362726,0.0889587,0.7253595888614655,4964,1349.7457966804504,0.00664718,0.0003,7045120
