fps,lr,policy_loss,total_timesteps,approxkl,time_elapsed,eplenmean,d_targ,serial_timesteps,value_loss,explained_variance,beta,eprewmean,policy_entropy,nupdates
5305,0.0010125,-0.00589136,12533760,0.0104536,2426.1270818710327,757.86,0.012,391680,0.0648121,0.80194291472435,0.732254,2134.44270412,0.777133,765
5270,0.0010125,-0.00713048,12550144,0.0114221,2429.2358038425446,779.32,0.012,392192,0.0781515,0.8080623298883438,0.732254,2181.64447096,0.7679,766
5323,0.0010125,-0.00668885,12566528,0.0109492,2432.313632965088,769.64,0.012,392704,0.075488,0.668808102607727,0.732254,2084.04216665,0.769518,767
5160,0.0010125,-0.00541111,12582912,0.00965422,2435.4890155792236,803.59,0.012,393216,0.0482537,0.7482186555862427,0.732254,2166.42270075,0.786686,768
5151,0.0010125,-0.00633964,12599296,0.0125517,2438.669976711273,849.71,0.012,393728,0.0871029,0.5974162817001343,0.732254,2344.88431953,0.80366,769
5198,0.0010125,-0.00921698,12615680,0.0124108,2441.8219866752625,843.26,0.012,394240,0.061628,0.7827392518520355,0.732254,2352.87576949,0.80089,770
5295,0.0010125,-0.00682464,12632064,0.0122375,2444.916086435318,842.81,0.012,394752,0.087875,0.6815066337585449,0.732254,2329.78207813,0.802423,771
5331,0.0010125,-0.00842444,12648448,0.0120638,2447.9893369674683,860.93,0.012,395264,0.0589063,0.7684820145368576,0.732254,2443.99444508,0.818891,772
5294,0.0010125,-0.00684168,12664832,0.0116538,2451.0840327739716,858.49,0.012,395776,0.0801928,0.7251275777816772,0.732254,2415.81140353,0.829179,773
5199,0.0010125,-0.00603796,12681216,0.0104072,2454.236778497696,833.9,0.012,396288,0.0684076,0.5701419413089752,0.732254,2346.59400733,0.838712,774
4941,0.0010125,-0.00658599,12697600,0.0109144,2457.5530412197113,862.76,0.012,396800,0.0914844,0.6059466302394867,0.732254,2451.22633894,0.825352,775
5101,0.0010125,-0.00610762,12713984,0.0126426,2460.765030860901,864.33,0.012,397312,0.0567919,0.7794414609670639,0.732254,2456.97122225,0.819081,776
5009,0.0010125,-0.00512325,12730368,0.0104077,2464.035872220993,848.4,0.012,397824,0.0800353,0.5355113446712494,0.732254,2409.51212445,0.819039,777
5050,0.0010125,-0.0056703,12746752,0.0110917,2467.2805292606354,851.39,0.012,398336,0.0794539,0.513545572757721,0.732254,2444.50351194,0.821432,778
5109,0.0010125,-0.00599961,12763136,0.010665,2470.4876108169556,851.87,0.012,398848,0.0683228,0.5562932193279266,0.732254,2461.61508914,0.824436,779
5210,0.0010125,-0.00535728,12779520,0.0109187,2473.6325459480286,845.17,0.012,399360,0.0794206,0.07089036703109741,0.732254,2449.46629137,0.824177,780
5156,0.0010125,-0.00779163,12795904,0.0112005,2476.810192346573,824.47,0.012,399872,0.0868341,0.398795485496521,0.732254,2455.43271523,0.816581,781
5235,0.0010125,-0.00680663,12812288,0.0115755,2479.9401140213013,830.11,0.012,400384,0.0657709,0.6289034485816956,0.732254,2462.03755122,0.799116,782
5314,0.0010125,-0.00667976,12828672,0.0121027,2483.023661851883,810.75,0.012,400896,0.0913163,0.676641047000885,0.732254,2385.13617743,0.781465,783
5308,0.0010125,-0.00794724,12845056,0.0137961,2486.110467672348,832.12,0.012,401408,0.0422882,0.8834042102098465,0.732254,2438.47120741,0.777158,784
5260,0.0010125,-0.00674006,12861440,0.0110208,2489.225200653076,826.76,0.012,401920,0.0948383,0.5689711272716522,0.732254,2342.20381909,0.789036,785
5040,0.0010125,-0.00665043,12877824,0.0108078,2492.475953578949,816.58,0.012,402432,0.0536407,0.3729804754257202,0.732254,2310.13070485,0.780829,786
